player,pos,season,Players,2024/2025
Jamal Murray,PG,2024,Jamal Murray,"$36,016,200 "
James Harden,PG,2024,James Harden,"$33,653,846 "
James Johnson,PF,2024,James Johnson,"$3,303,771 "
James Wiseman,C,2024,James Wiseman,"$2,237,691 "
Jarace Walker,PF,2024,Jarace Walker,"$6,362,433 "
Jared Butler,SG,2024,Jared Butler,"$578,577 "
Jared Rhoden,SG,2024,Jared Rhoden,"$135,120 "
Jarred Vanderbilt,PF,2024,Jarred Vanderbilt,"$10,714,286 "
Jarrett Allen,C,2024,Jarrett Allen,"$20,000,000 "
Jason Preston,PG,2024,Jason Preston,"$289,289 "
Javon Freeman-Liberty,PG,2024,Javon Freeman-Liberty,"$100,000 "
Javonte Green,SF,2024,Javonte Green,"$2,425,403 "
Jaxson Hayes,C,2024,Jaxson Hayes,"$2,463,946 "
Jay Huff,C,2024,Jay Huff,"$2,088,033 "
Jaylen Brown,SF,2024,Jaylen Brown,"$49,205,800 "
Jaylen Nowell,SG,2024,Jaylen Nowell,"$278,782 "
Jaylin Williams,C,2024,Jaylin Williams,"$2,019,699 "
Jayson Tatum,PF,2024,Jayson Tatum,"$34,848,340 "
Jeff Dowtin,PG,2024,Jeff Dowtin,"$578,577 "
Jeff Green,PF,2024,Jeff Green,"$8,000,000 "
Jerami Grant,PF,2024,Jerami Grant,"$29,793,104 "
Jeremiah Robinson-Earl,PF,2024,Jeremiah Robinson-Earl,"$2,196,970 "
Jeremy Sochan,PF,2024,Jeremy Sochan,"$5,570,040 "
Jericho Sims,C,2024,Jericho Sims,"$2,092,344 "
Jett Howard,SF,2024,Jett Howard,"$5,278,165 "
Jevon Carter,PG,2024,Jevon Carter,"$6,500,000 "
Jimmy Butler,PF,2024,Jimmy Butler,"$48,798,677 "
Jock Landale,C,2024,Jock Landale,"$8,000,000 "
Joe Ingles,SF,2024,Joe Ingles,"$3,303,771 "
Joel Embiid,C,2024,Joel Embiid,"$51,415,938 "
John Collins,PF,2024,John Collins,"$26,580,000 "
John Konchar,SF,2024,John Konchar,"$6,165,000 "
Johnny Davis,SG,2024,Johnny Davis,"$5,291,160 "
Johnny Juzang,SG,2024,Johnny Juzang,"$3,087,519 "
Jonathan Isaac,PF,2024,Jonathan Isaac,"$25,000,000 "
Jonathan Kuminga,PF,2024,Jonathan Kuminga,"$7,636,307 "
Jordan Clarkson,SG,2024,Jordan Clarkson,"$14,092,577 "
Jordan Hawkins,SG,2024,Jordan Hawkins,"$4,525,706 "
Jordan McLaughlin,PG,2024,Jordan McLaughlin,"$2,425,403 "
Jordan Miller,SF,2024,Jordan Miller,"$578,577 "
Jordan Poole,SG,2024,Jordan Poole,"$29,651,786 "
Jordan Walsh,SF,2024,Jordan Walsh,"$1,891,857 "
Jose Alvarado,PG,2024,Jose Alvarado,"$1,988,598 "
Josh Giddey,SG,2024,Josh Giddey,"$8,352,367 "
Josh Green,SG,2024,Josh Green,"$12,654,321 "
Josh Hart,SF,2024,Josh Hart,"$18,144,000 "
Josh Minott,SF,2024,Josh Minott,"$2,019,699 "
Josh Okogie,SG,2024,Josh Okogie,"$8,250,000 "
Josh Richardson,SG,2024,Josh Richardson,"$3,051,153 "
Jrue Holiday,PG,2024,Jrue Holiday,"$30,000,000 "
Julian Champagnie,SF,2024,Julian Champagnie,"$3,000,000 "
Julian Phillips,SF,2024,Julian Phillips,"$1,891,857 "
Julian Strawther,SF,2024,Julian Strawther,"$2,552,596 "
Julius Randle,PF,2024,Julius Randle,"$33,073,920 "
Justin Champagnie,SF,2024,Justin Champagnie,"$578,577 "
Justin Minaya,SF,2024,Justin Minaya,"$578,577 "
KJ Martin,SF,2024,KJ Martin,"$7,975,000 "
Karl-Anthony Towns,PF,2024,Karl-Anthony Towns,"$49,205,800 "
Kawhi Leonard,SF,2024,Kawhi Leonard,"$49,205,800 "
Keegan Murray,SF,2024,Keegan Murray,"$8,809,560 "
Keita Bates-Diop,SF,2024,Keita Bates-Diop,"$2,654,644 "
Keldon Johnson,SF,2024,Keldon Johnson,"$19,000,000 "
Kelly Olynyk,C,2024,Kelly Olynyk,"$12,804,878 "
Kenrich Williams,PF,2024,Kenrich Williams,"$6,669,000 "
Kentavious Caldwell-Pope,SG,2024,Kentavious Caldwell-Pope,"$22,757,000 "
Keon Ellis,SG,2024,Keon Ellis,"$2,120,693 "
Keon Johnson,SG,2024,Keon Johnson,"$2,162,606 "
Kessler Edwards,SF,2024,Kessler Edwards,"$578,577 "
Kevin Durant,PF,2024,Kevin Durant,"$51,179,020 "
Kevin Huerter,SG,2024,Kevin Huerter,"$16,830,357 "
Kevin Love,PF,2024,Kevin Love,"$3,850,000 "
Kevon Looney,C,2024,Kevon Looney,"$8,000,000 "
Keyonte George,PG,2024,Keyonte George,"$4,084,265 "
Khris Middleton,SF,2024,Khris Middleton,"$31,666,667 "
Klay Thompson,SF,2024,Klay Thompson,"$15,873,016 "
Kobe Brown,PF,2024,Kobe Brown,"$2,534,024 "
Kobe Bufkin,SG,2024,Kobe Bufkin,"$4,298,956 "
Kris Dunn,PG,2024,Kris Dunn,"$5,168,000 "
Kris Murray,SF,2024,Kris Murray,"$2,990,040 "
Kyle Anderson,PF,2024,Kyle Anderson,"$8,780,488 "
Kyle Kuzma,PF,2024,Kyle Kuzma,"$23,522,727 "
Kyle Lowry,PG,2024,Kyle Lowry,"$3,303,771 "
Kyrie Irving,SG,2024,Kyrie Irving,"$41,000,000 "
LaMelo Ball,PG,2024,LaMelo Ball,"$35,147,000 "
Lauri Markkanen,PF,2024,Lauri Markkanen,"$42,176,400 "
LeBron James,PF,2024,LeBron James,"$48,728,845 "
Leonard Miller,SF,2024,Leonard Miller,"$1,891,857 "
Lester Quinones,SG,2024,Lester Quinones,"$289,289 "
Lindy Waters III,SG,2024,Lindy Waters III,"$2,196,970 "
Luguentz Dort,SF,2024,Luguentz Dort,"$16,500,000 "
Luka Garza,C,2024,Luka Garza,"$2,162,606 "
Luke Kennard,SG,2024,Luke Kennard,"$9,250,000 "
Luke Kornet,C,2024,Luke Kornet,"$2,800,834 "
Malaki Branham,PG,2024,Malaki Branham,"$3,217,920 "
Malcolm Brogdon,PG,2024,Malcolm Brogdon,"$22,500,000 "
Malik Beasley,SG,2024,Malik Beasley,"$6,000,000 "
Malik Monk,SG,2024,Malik Monk,"$17,405,203 "
Mamadi Diakite,PF,2024,Mamadi Diakite,"$464,050 "
MarJon Beauchamp,SF,2024,MarJon Beauchamp,"$2,733,720 "
Marcus Sasser,PG,2024,Marcus Sasser,"$2,755,229 "
Marcus Smart,PG,2024,Marcus Smart,"$20,210,285 "
Mark Williams,C,2024,Mark Williams,"$4,094,280 "
Markieff Morris,PF,2024,Markieff Morris,"$3,303,771 "
